,city_state,donor_counts
237,"Mesa, AZ",687
238,"Terre Haute, IN",684
239,"Manhattan Beach, CA",684
240,"McLean, VA",684
241,"Joplin, MO",683
242,"Highlands Ranch, CO",683
243,"Ypsilanti, MI",683
244,"Lake Oswego, OR",680
245,"Gillette, WY",674
246,"Richmond, CA",674
247,"Maple Grove, MN",672
248,"Sunriver, OR",667
249,"Studio City, CA",663
250,"Ridgeland, MS",663
251,"Castro Valley, CA",661
252,"Goodyear, AZ",661
253,"Arlington, IA",659
254,"Westport, CT",658
255,"Macon, GA",655
256,"Chula Vista, CA",653
257,"McKinney, TX",651
258,"Venice, CA",644
259,"Pleasanton, CA",640
260,"Lafayette, IN",640
261,"Salem, OR",638
262,"Mansfield, TX",637
263,"Fishers, IN",637
264,"Malden, MA",637
265,"Spring, TX",636
266,"Suisun City, CA",635
267,"West Hartford, CT",633
268,"Brookline, MA",632
269,"Whittier, CA",626
270,"Lutz, FL",624
271,"Asheville, NC",621
272,"Reno, NV",619
273,"Ithaca, NY",616
274,"Chevy Chase, MD",615
275,"Oxford, MS",615
276,"Naples, FL",609
277,"Boca Raton, FL",608
278,"Research Triangle Park, NC",607
279,"ASHEVILLE, NC",606
280,"Littleton, CO",604
281,"El Segundo, CA",603
282,"washington, DC",598
283,"highland park, IL",595
284,"Buffalo, NY",595
285,"Montclair, NJ",594
286,"Boulder, CO",594
287,"Milford, CT",593
288,"Irving, TX",590
289,"Gainesville, FL",589
290,"Kirkland, WA",589
291,"Fort Myers, FL",588
292,"Birmingham, AL",586
293,"Pleasant Hill, CA",584
294,"Midlothian, VA",583
295,"Reston, VA",581
296,"Boise, ID",578
297,"Fort Wayne, IN",578
298,"Van Nuys, CA",577
299,"Ridgewood, NJ",569
300,"North Hollywood, CA",569
301,"Hyattsville, MD",569
302,"Rochester, MN",568
303,"Sonora, CA",568
304,"Plant City, FL",566
305,"Hayward, CA",564
306,"Santa Barbara, CA",563
307,"Eugene, OR",560
308,"Granada Hills, CA",559
309,"Falls Church, VA",557
310,"Mill Valley, CA",555
311,"West Hollywood, CA",554
312,"Northbrook, IL",552
313,"Redondo Beach, CA",551
314,"Pacoima, CA",550
315,"Los Altos, CA",549
316,"Huntington, NY",545
317,"Tolleson, AZ",545
318,"Greenbrae, CA",541
319,"APO, AE",539
320,"Encino, CA",537
321,"Glendale, AZ",537
322,"Fort Lee, NJ",535
323,"San Rafael, CA",534
324,"Tempe, AZ",529
325,"Ames, IA",525
326,"Scarsdale, NY",524
327,"Theodore, AL",522
328,"Glenview, IL",519
329,"Winston-Salem, NC",519
330,"Elk Grove, CA",516
331,"Frederick, MD",516
332,"Albany, NY",515
333,"Richmond, KY",511
334,"Huntsville, AL",510
335,"Saint Paul, MN",510
336,"Rego Park, NY",510
337,"Sioux Falls, SD",508
338,"Los Gatos, CA",507
339,"Newport News, VA",507
340,"Alpharetta, GA",506
341,"Fort Walton Beach, FL",505
342,"Lexington, KY",505
343,"Arlington, TX",504
344,"EAST LANSING, MI",504
345,"Santa Fe, NM",503
346,"Culver City, CA",503
347,"Madisonville, TN",500
348,"Hampton, GA",499
349,"Highland Springs, VA",498
350,"White Plains, NY",497
351,"Lake Forest, CA",493
352,"Port Reading, NJ",492
353,"Woodruff, SC",492
354,"Alhambra, CA",491
355,"Lafayette, CA",489
356,"Greenwich, CT",487
357,"Valley Stream, NY",487
358,"Annapolis, MD",482
359,"Springfield, VA",481
360,"Martinez, CA",479
361,"Delray Beach, FL",479
362,"Mundelein, IL",479
363,"Kissimmee, FL",477
364,"Chandler, AZ",476
365,"Casa Grande, AZ",473
366,"Tallahassee, FL",473
367,"Loveland, CO",472
368,"Oak Brook, IL",470
369,"Pendleton, IN",469
370,"Valencia, CA",469
371,"Morrisville, NC",466
372,"Waltham, MA",466
373,"Rio Linda, CA",465
374,"CHICAGO, IL",464
375,"OKC, OK",462
376,"Valley Village, CA",462
377,"Lawton, OK",461
378,"Tacoma, WA",461
379,"Pawleys Island, SC",461
380,"Gaithersburg, MD",461
381,"Venus, TX",460
382,"Bloomington, IN",457
383,"Burlingame, CA",457
384,"West Covina, CA",456
385,"tampa, FL",456
386,"Huntersville, NC",455
387,"Coventry, CT",455
388,"Daly City, CA",455
389,"San Carlos, CA",455
390,"Dublin, CA",454
391,"Arlington, MA",451
392,"Olympia, WA",450
393,"LOS ANGELES, CA",450
394,"Spartanburg, SC",450
395,"El Cerrito, CA",449
396,"Matthews, NC",449
397,"Parker, CO",448
398,"SAN FRANCISCO, CA",448
399,"Grand Rapids, MI",448
400,"Collierville, TN",448
401,"Woodland Hills, CA",447
402,"Madison, NJ",445
403,"Saratoga, CA",445
404,"Erie, PA",444
405,"Santa Cruz, CA",443
406,"Miami Beach, FL",443
407,"Simi Valley, CA",443
408,"Yonkers, NY",442
409,"Murfreesboro, TN",441
410,"Ashburn, VA",440
411,"Germantown, TN",439
412,"Appleton, WI",438
413,"White House Station, NJ",437
414,"san diego, CA",434
415,"Jamaica Plain, MA",432
416,"FLORENCE, SC",431
417,"Antioch, CA",429
418,"Folsom, CA",428
419,"Palm Beach Gardens, FL",426
420,"charlotte, NC",426
421,"Medford, MA",423
422,"Broken Arrow, OK",423
423,"Aurora, CO",422
424,"Castle Pines, CO",422
425,"Buffalo Grove, IL",420
426,"Manhasset, NY",420
427,"Bartlett, TN",419
428,"Overland Park, KS",418
429,"Galena, MD",417
430,"Pensacola, FL",417
431,"Monroe, MI",415
432,"Kent, WA",414
433,"Panorama City, CA",410
434,"Rocky Mount, NC",410
435,"Bentonville, AR",410
436,"Santa Clarita, CA",408
437,"Laguna Niguel, CA",407
438,"Frisco, TX",404
439,"Sarasota, FL",404
440,"Monterey Park, CA",403
441,"Wichita, KS",402
442,"Corpus Christi, TX",401
443,"Pacific Palisades, CA",401
444,"Wayne, NJ",400
445,"Kalamazoo, MI",399
446,"South Gate, CA",398
447,"Springfield, MA",398
448,"Woodinville, WA",396
449,"SAN JOSE, CA",394
450,"Wilmington, NC",393
451,"Roswell, GA",392
452,"West Point, UT",391
453,"Nashua, NH",391
454,"Bellingham, WA",391
455,"Herndon, VA",391
456,"Cleveland, OH",390
457,"Oakland, MS",390
458,"Cupertino, CA",389
459,"Sugar Land, TX",388
460,"Davis, CA",388
461,"Sterling Heights, MI",388
462,"Ventura, CA",387
463,"Edmond, OK",387
464,"New York City, NY",387
465,"Corona, CA",386
466,"Lincoln, NE",386
467,"Moorpark, CA",384
468,"Basking Ridge, NJ",384
469,"Rowley, MA",384
470,"Lynnwood, WA",383
471,"Phoenix, MD",381
472,"Kingwood, TX",381
473,"Portland, ME",381
474,"San Pedro, CA",380
475,"montebello, CA",380
476,"Urbana, IL",379
477,"Halethorpe, MD",379
478,"Waukegan, IL",377
479,"Carlsbad, CA",376
480,"San Leandro, CA",374
481,"Rancho Cucamonga, CA",373
482,"ny, NY",370
483,"Littleton, NC",370
484,"Stanford, CA",369
485,"Gig Harbor, WA",369
486,"Jackson, MS",367
487,"Wilson, NC",367
488,"Campbell, CA",366
489,"Burlington, NC",365
490,"Fullerton, CA",364
491,"Everett, WA",363
492,"Lexington, NC",363
493,"Short Hills, NJ",362
494,"Columbia, MO",361
495,"Margate, FL",361
496,"Deerfield, IL",360
497,"East Haven, CT",358
498,"Dodgeville, WI",357
499,"Laguna Hills, CA",356
500,"Ellicott City, MD",356
501,"Gilroy, CA",355
502,"Vestal, NY",354
503,"Clarksville, TN",354
504,"New Canaan, CT",353
505,"St. Paul, MN",352
506,"Wilmette, IL",352
507,"Lakeland, FL",352
508,"Lithia, FL",351
509,"Ross, CA",350
510,"Norman, OK",350
511,"West Chester, PA",349
512,"Salinas, CA",346
513,"BROOKLYN, NY",345
514,"Nichols, SC",345
515,"Manassas, VA",343
516,"Bristol, CT",342
517,"Fenton, MI",342
518,"Bullhead City, AZ",341
519,"Sylmar, CA",341
520,"Hilo, HI",341
521,"Tarboro, NC",340
522,"Dayton, OH",338
523,"Blue Springs, MO",337
524,"Watertown, MA",337
525,"Mooresville, NC",337
526,"Modesto, CA",336
527,"Middletown, CT",336
528,"Union, NJ",335
529,"San Francisco, UT",335
530,"Swarthmore, PA",334
531,"Fayetteville, AR",333
532,"Santee, CA",332
533,"Woodbridge, VA",332
534,"Boiling Springs, SC",332
535,"Mobile, AL",331
536,"Duluth, GA",327
537,"Norfolk, VA",326
538,"Hudson, NC",325
539,"Lakewood, CO",325
540,"Lexington, MA",324
541,"Lancaster, PA",323
542,"Carrollton, TX",323
543,"Ballwin, MO",322
544,"houston, TX",321
545,"Rialto, CA",321
546,"Arlington Heights, IL",320
547,"GERMANY, NY",320
548,"St Louis, MO",319
549,"Bayside, NY",319
550,"High Point, NC",318
551,"Pacifica, CA",318
552,"Brighton, MA",317
553,"Timonium, MD",316
554,"Lakewood, CA",316
555,"Irmo, SC",315
556,"Hacienda Heights, CA",314
557,"Fletcher, NC",313
558,"Olathe, KS",313
559,"Bowie, MD",312
560,"Woodside, NY",312
561,"West Orange, NJ",312
562,"Mechanicsburg, PA",312
563,"Angleton, TX",311
564,"Lansing, MI",310
565,"Lawrenceville, GA",310
566,"Gurnee, IL",309
567,"Summit, NJ",308
568,"Riverside, CA",308
569,"Arlington, TN",308
570,"Issaquah, WA",307
571,"Natchitoches, LA",307
572,"Allen, TX",306
573,"Seven Hills, OH",306
574,"Lafayette, LA",305
575,"Clearwater, FL",305
576,"Downers Grove, IL",303
577,"Santa Ana, CA",303
578,"West Haven, CT",302
579,"Oshkosh, WI",302
580,"Roseville, CA",302
581,"Burke, VA",300
582,"Northville, MI",299
583,"Libertyville, IL",299
584,"Bend, OR",298
585,"TUCSON, AZ",297
586,"Evansville, IN",297
587,"Fort Smith, AR",296
588,"York, PA",295
589,"Hamden, CT",295
590,"Westfield, NJ",294
591,"Fort Mill, SC",294
592,"san jose, CA",294
593,"Land O Lakes, FL",294
594,"Rock Hill, SC",293
595,"Randolph, NJ",293
596,"Bowling Green, KY",292
597,"Elgin, OK",291
598,"North Little Rock, AR",291
599,"Jackson Heights, NY",290
600,"oakland, CA",290
601,"Fontana, CA",290
602,"Orange Park, FL",290
603,"Castroville, TX",290
604,"Syracuse, NY",290
605,"Norcross, GA",289
606,"Bronxville, NY",288
607,"Highland Park, IL",288
608,"South Charleston, WV",288
609,"Worcester, MA",288
610,"Peoria, AZ",285
611,"South Pasadena, CA",284
612,"Sunland, CA",283
613,"Palm Harbor, FL",282
614,"Richfield, MN",282
615,"Benicia, CA",282
616,"Vicco, KY",281
617,"Centennial, CO",281
618,"Fort Lauderdale, FL",281
619,"Newport Beach, CA",280
620,"Humble, TX",280
621,"Belmont, CA",279
622,"Arvada, CO",279
623,"Federal Way, WA",279
624,"austin, TX",279
625,"seattle, WA",278
626,"Greenwood, IN",278
627,"Winnetka, IL",278
628,"West Palm Beach, FL",277
629,"Danbury, CT",277
630,"Burlington, MA",277
631,"Odessa, FL",277
632,"Lake Grove, NY",277
633,"Lawrence, KS",276
634,"Hillsboro, OR",275
635,"Antelope, CA",275
636,"Gastonia, NC",275
637,"Maplewood, NJ",275
638,"Hoover, AL",275
639,"Morristown, NJ",274
640,"Atherton, CA",274
641,"Palatine, IL",274
642,"san antonio, TX",274
643,"Altadena, CA",274
644,"LA, CA",273
645,"Warwick, RI",273
646,"Orinda, CA",272
647,"Wheeling, WV",272
648,"Summerville, SC",272
649,"Stockton, CA",271
650,"TAMPA, FL",271
651,"Williamsburg, VA",271
652,"Athens, GA",271
653,"Metairie, LA",270
654,"Orem, UT",270
655,"Yorba Linda, CA",269
656,"Potomac, MD",269
657,"North Las Vegas, NV",269
658,"Bothell, WA",269
659,"Amarillo, TX",268
660,"North Hills, CA",267
661,"philadelphia, PA",267
662,"GREENSBORO, NC",267
663,"El Lago, TX",266
664,"Pelham, NY",266
665,"Hermosa Beach, CA",266
666,"Novato, CA",266
667,"Livonia, MI",265
668,"Needham, MA",264
669,"Rockwood, TN",263
670,"Canyon Country, CA",263
671,"Lexington, SC",263
672,"Wellesley, MA",262
673,"Newark, DE",262
674,"Moreno Valley, CA",261
675,"miami, FL",261
676,"Gardena, CA",260
677,"Delmar, NY",260
678,"Mission Viejo, CA",259
679,"Hickory, NC",259
680,"Temple City, CA",259
681,"San Dimas, CA",257
682,"Bloomington, MN",257
683,"Denton, TX",257
684,"Cedar Rapids, IA",257
685,"Panama City Beach, FL",256
686,"Elmhurst, IL",256
687,"Akron, OH",255
688,"Marion, AR",255
689,"Garden Grove, CA",255
690,"Duxbury, MA",254
691,"Round Rock, TX",254
692,"Brentwood, CA",254
693,"Park Ridge, IL",253
694,"Richardson, TX",253
695,"Rye, NH",253
696,"Lake City, SC",253
697,"Bountiful, UT",252
698,"Bradenton, FL",252
699,"Sterling, VA",251
700,"Anahola, HI",250
701,"Aurora, IL",250
702,"Wilton, CT",250
703,"Ligonier, PA",250
704,"Woburn, MA",250
705,"Prairieville, LA",250
706,"Winston Salem, NC",250
707,"Green Bay, WI",249
708,"Quincy, IL",249
709,"Shelton, CT",249
710,"Laurel, MD",249
711,"MIDDLETOWN, DE",248
712,"South Bend, IN",248
713,"Pooler, GA",248
714,"memphis, TN",248
715,"La Jolla, CA",247
716,"marietta, GA",247
717,"Larchmont, NY",247
718,"Bismarck, ND",247
719,"Chatsworth, CA",247
720,"SEATTLE, WA",247
721,"Urbandale, IA",246
722,"las vegas, NV",246
723,"Lake Forest, IL",245
724,"El Cajon, CA",245
725,"Pembroke Pines, FL",245
726,"AUSTRALIA, NY",245
727,"Thornton, CO",244
728,"Omro, WI",243
729,"New Bern, NC",243
730,"Glendora, CA",243
731,"San Francisco,, CA",243
732,"New Rochelle, NY",242
733,"Venice, FL",242
734,"Morgantown, WV",242
735,"Canton, MI",240
736,"Rockville Centre, NY",240
737,"Juliette, GA",239
738,"Wheaton, IL",239
739,"Auburn, ME",238
740,"Doylestown, PA",237
741,"Easton, CT",237
742,"Sausalito, CA",237
743,"Fort Collins, CO",237
744,"Madison, AL",237
745,"Moore, OK",236
746,"Berwyn, IL",236
747,"New york, NY",236
748,"La Mesa, CA",236
749,"Homer, GA",236
750,"Glen Burnie, MD",235
751,"Chandler, TX",235
752,"San Bruno, CA",234
753,"Napa, CA",234
754,"Monroe, GA",234
755,"Compton, CA",234
756,"Lindenhurst, NY",234
757,"Amherst, NH",233
758,"Smyrna, GA",233
759,"Canton, OH",233
760,"Laguna Beach, CA",233
761,"Long Island City, NY",233
762,"Hollywood, FL",233
763,"San Gabriel, CA",232
764,"West Hills, CA",232
765,"Foster City, CA",232
766,"Petaluma, CA",232
767,"Mulberry, FL",232
768,"Richmond, TX",232
769,"Sammamish, WA",232
770,"Pflugerville, TX",231
771,"Cedar Grove, NJ",231
772,"Sudbury, MA",231
773,"Melbourne, FL",231
774,"Jupiter, FL",231
775,"East Brunswick, NJ",230
776,"Sonoma, CA",230
777,"Port Washington, NY",229
778,"Enid, OK",229
779,"Iowa City, IA",229
780,"Highland Park, NJ",229
781,"Quincy, MA",228
782,"Hilton Head Island, SC",228
783,"Woodland, CA",228
784,"Rochester Hills, MI",228
785,"Azusa, CA",228
786,"Simpsonville, SC",227
787,"San Marcos, CA",227
788,"Roslindale, MA",227
789,"Auburn, WA",227
790,"West Melbourne, FL",227
791,"Savannah, TN",227
792,"Temecula, CA",226
793,"West Jordan, UT",226
794,"Gray, GA",226
795,"Chattanooga, TN",225
796,"Smyrna, TN",225
797,"El Paso, TX",225
798,"Tigard, OR",225
799,"Indian Orchard, MA",224
800,"Farmington Hills, MI",224
801,"Newbury Park, CA",224
802,"Greenfield, IN",224
803,"Inglewood, CA",224
804,"Centreville, VA",224
805,"Dorchester, MA",223
806,"Myrtle Beach, SC",223
807,"The Woodlands, TX",223
808,"Newark, NJ",222
809,"Sugarland, TX",222
810,"Westfield, IN",222
811,"Valparaiso, IN",221
812,"St. Petersburg, FL",221
813,"Manchester, CT",221
814,"Edina, MN",220
815,"Springfield, MO",220
816,"Provo, UT",220
817,"Newnan, GA",220
818,"Arcata, CA",220
819,"Marlborough, MA",219
820,"Tustin, CA",219
821,"Patterson, CA",219
822,"Waukesha, WI",219
823,"Annandale, VA",218
824,"Manchester, NH",218
825,"The Villages, FL",217
826,"Edmonds, WA",217
827,"Hurst, TX",217
828,"Glen Allen, VA",217
829,"Darien, CT",216
830,"Hermitage, TN",214
831,"Pearland, TX",214
832,"Atwater, CA",214
833,"Charlotte, SC",214
834,"Monrovia, CA",214
835,"Sandy, UT",213
836,"Brea, CA",213
837,"Tawas City, MI",213
838,"venice, CA",212
839,"Ogden, UT",212
840,"Great Neck, NY",212
841,"Reseda, CA",212
842,"Old Greenwich, CT",212
843,"Havertown, PA",211
844,"Albany, CA",211
845,"Weston, FL",210
846,"Glencoe, IL",209
847,"Tracy, CA",209
848,"Kihei, HI",209
849,"Branford, CT",209
850,"Concord, NC",208
851,"Wooster, OH",208
852,"baltimore, MD",208
853,"Skokie, IL",208
854,"Toledo, OH",207
855,"Haverford, PA",206
856,"Leawood, KS",206
857,"Coppell, TX",205
858,"Bangor, ME",205
859,"Asheboro, NC",205
860,"Middletown, DE",204
861,"East Lansing, MI",204
862,"Keller, TX",204
863,"Hawthorne, CA",204
864,"Fair Lawn, NJ",204
865,"Castle Rock, CO",204
866,"Wake Forest, NC",204
867,"Beech Grove, IN",203
868,"Stillwater, OK",203
869,"Kerrville, TX",203
870,"Cypress, CA",203
871,"West Roxbury, MA",203
872,"Camden, NJ",203
873,"Lodi, CA",203
874,"Troy, MI",203
875,"Las Cruces, NM",202
876,"Windsor Locks, CT",202
877,"Billerica, MA",202
878,"Noblesville, IN",202
879,"Milton, MA",201
880,"Oradell, NJ",201
881,"White Lake, MI",200
882,"Newtown, PA",200
883,"Towson, MD",199
884,"Rome, NY",199
885,"Elgin, IL",199
886,"Oakton, VA",199
887,"Grayslake, IL",199
888,"Apple Valley, MN",198
889,"Chesterfield, VA",198
890,"Bozeman, MT",198
891,"lakewood, CO",197
892,"Leesburg, VA",196
893,"Toms River, NJ",196
894,"Garner, NC",196
895,"Grand Prairie, TX",196
896,"Chesterfield, MO",195
897,"WASHINGTON, DC",195
898,"Ladera Ranch, CA",195
899,"Peoria, IL",195
900,"Cornelius, NC",194
901,"Greenbelt, MD",194
902,"Malvern, PA",194
903,"San Fernando, CA",194
904,"De Pere, WI",194
905,"Milpitas, CA",194
906,"Kenosha, WI",194
907,"Teaneck, NJ",193
908,"Fair Oaks, CA",193
909,"Media, PA",193
910,"Encinitas, CA",193
911,"Des Moines, IA",193
912,"Stafford, VA",192
913,"Boulder Creek, CA",192
914,"Chatham, IL",192
915,"North Charleston, SC",192
916,"Easton, PA",192
917,"Tarzana, CA",192
918,"Barrington, IL",191
919,"sacramento, CA",191
920,"San Luis Obispo, CA",190
921,"Yukon, OK",190
922,"Fredericksburg, VA",190
923,"garden grove, CA",190
924,"harrisonburg, VA",190
925,"Ashland, MA",190
926,"bronx, NY",189
927,"North Ogden, UT",189
928,"Inman, SC",189
929,"Taylor, MI",189
930,"Hillsborough, CA",189
931,"Independence, MO",189
932,"Wallingford, CT",188
933,"Sunnyside, NY",188
934,"Puyallup, WA",188
935,"clyde hill, WA",188
936,"Bettendorf, IA",188
937,"Geneva, NY",187
938,"Westlake Village, CA",187
939,"College Station, TX",187
940,"Aliso Viejo, CA",187
941,"Clifton Park, NY",187
942,"Ocean Springs, MS",186
943,"Avon, IN",186
944,"Wynnewood, PA",186
945,"Yorktown, VA",185
946,"Shoreline, WA",185
947,"Belmont, MA",185
948,"Dripping Springs, TX",185
949,"Waipahu, HI",184
950,"Des Plaines, IL",184
951,"Bayville, NJ",183
952,"Slidell, LA",183
953,"Piedmont, CA",183
954,"Andover, MA",183
955,"Fletcher, OK",182
956,"Fairfield, CA",182
957,"Portola Valley, CA",181
958,"Mamaroneck, NY",181
959,"Hoffman Estates, IL",180
960,"Odessa, TX",180
961,"New Ulm, MN",180
962,"Emeryville, CA",180
963,"Harrisburg, PA",180
964,"Hinsdale, IL",180
965,"Corvallis, OR",180
966,"Harrisonburg, VA",179
967,"Long Valley, NJ",179
968,"Brick, NJ",179
969,"Merced, CA",179
970,"Denville, NJ",179
971,"South San Francisco, CA",179
972,"Flagstaff, AZ",179
973,"Newton, IA",179
974,"atlanta, GA",179
975,"Brookings, OR",179
976,"La Canada, CA",178
977,"Girard, OH",178
978,"Round Hill, VA",178
979,"riverview, FL",178
980,"Missoula, MT",178
981,"staten island, NY",177
982,"Kansas City, KS",177
983,"dallas, TX",177
984,"carson city, NV",177
985,"indianapolis, IN",176
986,"Santa Maria, CA",176
987,"Boynton Beach, FL",176
988,"Takoma Park, MD",175
989,"Mesquite, TX",175
990,"Augusta, GA",175
991,"Allentown, PA",175
992,"Catonsville, MD",175
993,"Longwood, FL",175
994,"Cape Coral, FL",174
995,"South Windsor, CT",174
996,"Racine, WI",174
997,"Midland, MI",174
